company_id,company_name,SASB
2354,鴻準,科技與通訊
2355,敬鵬,科技與通訊
2356,英業達,科技與通訊
2357,華碩,科技與通訊
2358,廷鑫,提煉與礦產加工
2359,所羅門,資源轉化
2360,致茂,科技與通訊
2362,藍天,科技與通訊
2363,矽統,科技與通訊
2364,倫飛,科技與通訊
2365,昆盈,科技與通訊
2367,燿華,科技與通訊
2368,金像電,科技與通訊
2369,菱生,科技與通訊
2371,大同,資源轉化
2373,震旦行,消費品
2374,佳能,科技與通訊
2375,凱美,科技與通訊
2376,技嘉,科技與通訊
2377,微星,科技與通訊
2379,瑞昱,科技與通訊
2380,虹光,科技與通訊
2382,廣達,科技與通訊
2383,台光電,科技與通訊
2384,勝華,科技與通訊
2385,群光,科技與通訊
2387,精元,科技與通訊
2388,威盛,科技與通訊
2390,云辰,資源轉化
2392,正崴,科技與通訊
2393,億光,科技與通訊
2395,研華,科技與通訊
2397,友通,科技與通訊
2399,映泰,科技與通訊
2401,凌陽,科技與通訊
2402,毅嘉,科技與通訊
2404,漢唐,科技與通訊
2405,輔信,科技與通訊
2406,國碩,可再生資源與替代能源
2408,南亞科,科技與通訊
2409,友達,科技與通訊
2412,中華電,科技與通訊
2413,環科,資源轉化
2414,精技,消費品
2415,錩新,資源轉化
2417,圓剛,科技與通訊
2419,仲琦,科技與通訊
2420,新巨,資源轉化
2421,建準,資源轉化
2423,固緯,資源轉化
2424,隴華,科技與通訊
2425,承啟,科技與通訊
2426,鼎元,科技與通訊
2427,三商電,科技與通訊
2428,興勤,資源轉化
2429,銘旺科,科技與通訊
2430,燦坤,消費品
2431,聯昌,資源轉化
2433,互盛電,消費品
2434,統懋,科技與通訊
2436,偉詮電,科技與通訊
2438,翔耀,科技與通訊
2439,美律,科技與通訊
2440,太空梭,資源轉化
2441,超豐,科技與通訊
2442,新美齊,公共建設
2443,昶虹,醫療保健
2444,兆勁,科技與通訊
2449,京元電子,科技與通訊
2450,神腦,消費品
2451,創見,科技與通訊
2453,凌群,科技與通訊
2454,聯發科,科技與通訊
2455,全新,科技與通訊
2457,飛宏,資源轉化
2458,義隆,科技與通訊
2459,敦吉,科技與通訊
2460,建通,科技與通訊
2461,光群雷,資源轉化
2462,良得電,資源轉化
2464,盟立,資源轉化
2465,麗臺,科技與通訊
2466,冠西電,科技與通訊
2467,志聖,資源轉化
2468,華經,科技與通訊
2471,資通,科技與通訊
2472,立隆電,科技與通訊
2474,可成,資源轉化
2476,鉅祥,資源轉化
2477,美隆電,科技與通訊
2478,大毅,資源轉化
2480,敦陽科,科技與通訊
2481,強茂,科技與通訊
2482,連宇,科技與通訊
2483,百容,科技與通訊
2484,希華,資源轉化
2485,兆赫,科技與通訊
2486,一詮,科技與通訊
2488,漢平,科技與通訊
2489,瑞軒,科技與通訊
2491,吉祥全,科技與通訊
2492,華新科,資源轉化
2493,揚博,資源轉化
2495,普安,科技與通訊
2496,卓越,服務
2497,怡利電,運輸
2498,宏達電,科技與通訊
2501,國建,公共建設
2504,國產,提煉與礦產加工
2505,國揚,公共建設
2506,太設,公共建設
2509,全坤建,公共建設
2511,太子,公共建設
2514,龍邦,公共建設
